"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery_Cell","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"C1,C2,C8,C9","4","22pF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C3,C4,C5,C11","4","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C6","1","10uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C7","1","10UF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C10","1","10nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D2","2","LED","","","","LED_SMD:LED_0805_2012Metric","~"
"J1","1","Conn_01x02_Pin","","","","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~"
"J2","1","USB_C_Receptacle","","","","Connector_USB:USB_C_Receptacle_HRO_TYPE-C-31-M-12","https://www.usb.org/sites/default/files/documents/usb_type-c.zip"
"R1","1","10kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2","1","1MΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R3,R4","2","5.1kΩ","","","","Resistor_SMD:R_0805_2012Metric","~"
"R5,R6","2","220Ω","","","","Resistor_SMD:R_0805_2012Metric","~"
"R7,R8","2","220","","","","Resistor_SMD:R_0805_2012Metric","~"
"R9,R10","2","10k","","","","Resistor_SMD:R_0805_2012Metric","~"
"TH1","1","Thermistor_PTC","","","","Fuse:Fuse_0805_2012Metric","~"
"U1","1","ATmega328P-A","","","","Package_QFP:TQFP-32_7x7mm_P0.8mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf"
"U2","1","LM358","","","","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","http://www.ti.com/lit/ds/symlink/lm2904-n.pdf"
"U3,U4","2","PC817","","","","Package_DIP:SMDIP-4_W7.62mm","http://www.soselectronic.cz/a_info/resource/d/pc817.pdf"
"U5","1","L7805","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U6","1","CH340G","","","","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","http://www.datasheet5.com/pdf-local-2195953"
"Y1,Y2","2","Crystal","","","","Crystal:Crystal_SMD_5032-2Pin_5.0x3.2mm","~"
